geo_value,time_value,viral_activity_level,viral_activity_level_num,viral_activity_level_cat,geo_res
Eastern,2022-01-23,2.7644841656266284,2.0,low,region
Eastern,2022-01-30,2.9825569149392237,2.0,low,region
Eastern,2022-02-06,2.809311515120368,2.0,low,region
Eastern,2022-02-13,0.6814903758960448,1.0,minimal,region
Eastern,2022-02-20,0.8272383910793104,1.0,minimal,region
Eastern,2022-02-27,0.6447197157292217,1.0,minimal,region
Eastern,2022-03-06,1.0029596819843718,1.0,minimal,region
Eastern,2022-03-13,0.7577387989412,1.0,minimal,region
Eastern,2022-03-20,0.981084487167414,1.0,minimal,region
Eastern,2022-03-27,0.6683850206880778,1.0,minimal,region
Eastern,2022-04-03,1.6317939337928242,2.0,low,region
Eastern,2022-04-10,1.9743652806049548,2.0,low,region
Eastern,2022-04-17,2.8074139293338067,2.0,low,region
Eastern,2022-04-24,3.154896320321254,3.0,moderate,region
Eastern,2022-05-01,3.150247562693921,3.0,moderate,region
Eastern,2022-05-08,2.308312140368753,2.0,low,region
Eastern,2022-05-15,4.020784803397263,3.0,moderate,region
Eastern,2022-05-22,6.473267393105366,4.0,high,region
Eastern,2022-05-29,2.1314520403319195,2.0,low,region
Eastern,2022-06-05,6.100507363810444,4.0,high,region
Eastern,2022-06-12,4.086102898395692,3.0,moderate,region
Eastern,2022-06-19,5.526717086029723,4.0,high,region
Eastern,2022-06-26,4.3799246334704405,3.0,moderate,region
Eastern,2022-07-03,8.797999509433506,5.0,very high,region
Eastern,2022-07-10,4.7868778165804216,4.0,high,region
Eastern,2022-07-17,4.907743733456174,4.0,high,region
Eastern,2022-07-24,8.00378504306652,5.0,very high,region
Eastern,2022-07-31,4.390108749214792,3.0,moderate,region
Eastern,2022-08-07,5.284034564753296,4.0,high,region
Eastern,2022-08-14,2.684550137098982,2.0,low,region
Eastern,2022-08-21,4.469223418527565,3.0,moderate,region
Eastern,2022-08-28,4.0238302180833,3.0,moderate,region
Eastern,2022-09-04,4.652549580355824,4.0,high,region
Eastern,2022-09-11,5.135030809183812,4.0,high,region
Eastern,2022-09-18,1.5544192948726936,2.0,low,region
