geo_value,time_value,geo_res,hosp_fac_BOW_7d_avg
Eastern,2022-01-08,region,105.32712688277633
Eastern,2022-01-15,region,95.53891706171255
Eastern,2022-01-22,region,98.56686538155694
Eastern,2022-01-29,region,78.5049162256953
Eastern,2022-02-05,region,65.92746352924709
Eastern,2022-02-12,region,36.125821857017606
Eastern,2022-02-19,region,25.5861848059364
Eastern,2022-02-26,region,12.482893008180875
Eastern,2022-03-05,region,6.292549527316807
Eastern,2022-03-12,region,4.753143755371163
Eastern,2022-03-19,region,1.4145884356464438
Eastern,2022-03-26,region,2.44418670174214
Eastern,2022-04-02,region,1.8913521603921613
Eastern,2022-04-09,region,1.3418856635989034
Eastern,2022-04-16,region,1.2216018535048605
Eastern,2022-04-23,region,5.056704943501363
Eastern,2022-04-30,region,2.2787487911745754
Eastern,2022-05-07,region,5.01259884725103
Eastern,2022-05-14,region,9.297815726686682
Eastern,2022-05-21,region,7.8351652643491105
Eastern,2022-05-28,region,14.389512914830911
Eastern,2022-06-04,region,14.855564582036802
Eastern,2022-06-11,region,22.941633786913304
Eastern,2022-06-18,region,20.4607078659998
Eastern,2022-06-25,region,16.96074395024141
Eastern,2022-07-02,region,19.47908466756323
Eastern,2022-07-09,region,20.154590673757728
Eastern,2022-07-16,region,25.920904384455262
Eastern,2022-07-23,region,25.09514547062221
Eastern,2022-07-30,region,28.12177357344436
Eastern,2022-08-06,region,25.645750725376807
Eastern,2022-08-13,region,24.0404903031253
Eastern,2022-08-20,region,18.650273057334523
Eastern,2022-08-27,region,18.397558058311148
Eastern,2022-09-03,region,13.906422331221494
Eastern,2022-09-10,region,13.908585635735598
Eastern,2022-09-17,region,16.131932801290347
Eastern,2022-09-24,region,12.329595623574978
Eastern,2022-10-01,region,8.850568326548206
Eastern,2022-10-08,region,12.175526116583034
Eastern,2022-10-15,region,10.866394939282014
Eastern,2022-10-22,region,12.043151607154028
Eastern,2022-10-29,region,10.550184969283375
Eastern,2022-11-05,region,13.739017831004071
Eastern,2022-11-12,region,10.861516592150712
Eastern,2022-11-19,region,10.661695500748642
Eastern,2022-11-26,region,8.484710300048093
Eastern,2022-12-03,region,9.910510306366143
Eastern,2022-12-10,region,14.135997321592164
Eastern,2022-12-17,region,23.081257082255767
Eastern,2022-12-24,region,22.23112215806245
Eastern,2022-12-31,region,33.68601800790361
Eastern,2023-01-07,region,33.921811902352786
Eastern,2023-01-14,region,26.683786539813863
Eastern,2023-01-21,region,21.859074419680773
Eastern,2023-01-28,region,17.124363336746413
Eastern,2023-02-04,region,15.174263907552184
Eastern,2023-02-11,region,13.503090666442244
Eastern,2023-02-18,region,10.83669508787264
Eastern,2023-02-25,region,8.469220500896947
Eastern,2023-03-04,region,6.999394621817753
Eastern,2023-03-11,region,7.6212374417748014
Eastern,2023-03-18,region,6.053437680620202
Eastern,2023-03-25,region,4.878710096231244
Eastern,2023-04-01,region,4.517321417357401
Eastern,2023-04-08,region,4.755989730283313
Eastern,2023-04-15,region,2.7442117603691507
Eastern,2023-04-22,region,3.176598615595194
Eastern,2023-04-29,region,0.7917184400651577
Eastern,2023-05-06,region,1.422628680542498
Eastern,2023-05-13,region,1.827315915392166
Eastern,2023-05-20,region,1.682765008871732
Eastern,2023-05-27,region,1.1340673145135491
Eastern,2023-06-03,region,1.2623750910924123
Eastern,2023-06-10,region,0.5677048612058844
Eastern,2023-06-17,region,1.2884771422612902
Eastern,2023-06-24,region,0.0836685137798152
Eastern,2023-07-01,region,0.1039057089648188
Eastern,2023-07-08,region,0.6318414215970993
Eastern,2023-07-15,region,0.639748493465087
Eastern,2023-07-22,region,1.7811563121843956
Eastern,2023-07-29,region,3.717559044335237
Eastern,2023-08-05,region,2.9555864496164284
Eastern,2023-08-12,region,5.7127636714558365
Eastern,2023-08-19,region,7.407323465182612
Eastern,2023-08-26,region,8.398604229478625
Eastern,2023-09-02,region,9.138940606534677
Eastern,2023-09-09,region,9.325904784763566
Eastern,2023-09-16,region,9.389859567920755
Eastern,2023-09-23,region,8.942629845028248
Eastern,2023-09-30,region,11.280140676510303
Eastern,2023-10-07,region,11.677331463215802
Eastern,2023-10-14,region,9.69448031313098
Eastern,2023-10-21,region,9.053273471037231
Eastern,2023-10-28,region,7.988895481310009
Eastern,2023-11-04,region,4.195367621951161
Eastern,2023-11-11,region,7.656904578418798
Eastern,2023-11-18,region,7.480272887839487
Eastern,2023-11-25,region,8.770523018634389
Eastern,2023-12-02,region,10.724745733305513
Eastern,2023-12-09,region,12.369921594656324
Eastern,2023-12-16,region,12.989433116894574
Eastern,2023-12-23,region,15.870754817085226
Eastern,2023-12-30,region,24.937578602880503
Eastern,2024-01-06,region,23.72484913196139
Eastern,2024-01-13,region,21.60824099406362
Eastern,2024-01-20,region,14.42544648507287
Eastern,2024-01-27,region,13.147222911591737
Eastern,2024-02-03,region,11.27915817818733
Northern,2020-02-22,region,0.0
Northern,2020-03-07,region,0.0
Northern,2020-03-14,region,0.0
Northern,2020-03-21,region,0.0
Northern,2020-03-28,region,0.0
Northern,2020-04-04,region,0.0
Northern,2020-04-11,region,0.0
Northern,2020-04-18,region,0.0
Northern,2020-04-25,region,0.0
Northern,2020-05-02,region,0.0
Northern,2020-05-09,region,0.0
Northern,2020-05-16,region,0.0
Northern,2020-05-23,region,0.0
Northern,2020-05-30,region,0.0
Northern,2020-06-06,region,0.0
Northern,2020-06-13,region,0.0
Northern,2020-06-20,region,0.0
Northern,2020-06-27,region,0.0
Northern,2020-07-04,region,0.0
Northern,2020-07-11,region,0.0
Northern,2020-07-18,region,5.02247730849007
Northern,2020-07-25,region,10.406530942794504
Northern,2020-08-01,region,8.332369231268991
Northern,2020-08-08,region,8.090541918514347
Northern,2020-08-15,region,14.885531343898585
Northern,2020-08-22,region,11.022245488151071
Northern,2020-08-29,region,13.105554471206036
Northern,2020-09-05,region,19.86993929218585
Northern,2020-09-12,region,21.32512239919657
Northern,2020-09-19,region,19.56080289323582
Northern,2020-09-26,region,16.185558141084854
Northern,2020-10-03,region,19.309453216043423
Northern,2020-10-10,region,19.92825709134913
Northern,2020-10-17,region,16.380431252892024
Northern,2020-10-24,region,14.135357097755527
Northern,2020-10-31,region,16.276025261325927
Northern,2020-11-07,region,19.728319531628628
Northern,2020-11-14,region,31.41360049071593
Northern,2020-11-21,region,30.876487932629995
Northern,2020-11-28,region,41.711263773166216
Northern,2020-12-05,region,50.0595678538723
Northern,2020-12-12,region,50.59759988779746
Northern,2020-12-19,region,54.74724824356864
Northern,2020-12-26,region,63.789134671148176
Northern,2021-01-02,region,61.35965913135971
Northern,2021-01-09,region,66.56282632701286
